baseline,benchmark,mode,model,served_model_name,task_id,sample_id,compile_pass,sim_pass,final_pass,failure_category,prompt_hash,latency_seconds,completion_tokens,total_tokens,source_run_id
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,axi__easy1,0,False,False,False,compile_failure,9ce46e3bb2a4cabbfa95509f4b138cd5c7cd2968d8e37bc8285a54ae8dd7e6dc,45.11867448873818,1014,1548,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,axi__easy1,0,True,True,True,passed,9ce46e3bb2a4cabbfa95509f4b138cd5c7cd2968d8e37bc8285a54ae8dd7e6dc,16.5718407118693,950,1442,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,axi__easy1,0,True,True,True,passed,9ce46e3bb2a4cabbfa95509f4b138cd5c7cd2968d8e37bc8285a54ae8dd7e6dc,10.669789378531277,1719,2211,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,axi__easy1,0,True,True,True,passed,9ce46e3bb2a4cabbfa95509f4b138cd5c7cd2968d8e37bc8285a54ae8dd7e6dc,28.43443636689335,1915,2417,protocollm_lint_qwen36_27b
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,axi__easy1,0,True,True,True,passed,9ce46e3bb2a4cabbfa95509f4b138cd5c7cd2968d8e37bc8285a54ae8dd7e6dc,6.556119496934116,1264,1766,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,i2c__easy1,0,False,False,False,compile_failure,793cc0b8ef371aa8838df18d1592f94cd08a1aa242a3337209d608ed4a3148f7,49.825224560685456,1097,1673,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,i2c__easy1,0,True,True,True,passed,793cc0b8ef371aa8838df18d1592f94cd08a1aa242a3337209d608ed4a3148f7,26.081224787980318,1454,2010,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,i2c__easy1,0,True,True,True,passed,793cc0b8ef371aa8838df18d1592f94cd08a1aa242a3337209d608ed4a3148f7,9.010445479303598,1446,2002,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,i2c__easy1,0,True,True,True,passed,793cc0b8ef371aa8838df18d1592f94cd08a1aa242a3337209d608ed4a3148f7,37.43198374379426,2487,3049,protocollm_lint_qwen36_27b
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,i2c__easy1,0,False,False,False,compile_failure,793cc0b8ef371aa8838df18d1592f94cd08a1aa242a3337209d608ed4a3148f7,12.864042001310736,2476,3038,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,i2c__hard1,0,True,True,True,passed,85dc26527e370f5a9994a40cb96bbb93917bf10ba0a75a3eb2c7639e2e6155dd,52.912789539434016,1191,1769,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,i2c__hard1,0,False,False,False,compile_failure,85dc26527e370f5a9994a40cb96bbb93917bf10ba0a75a3eb2c7639e2e6155dd,25.630135712213814,1470,2028,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,i2c__hard1,0,True,True,True,passed,85dc26527e370f5a9994a40cb96bbb93917bf10ba0a75a3eb2c7639e2e6155dd,11.777646912261844,1897,2455,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,i2c__hard1,0,True,True,True,passed,85dc26527e370f5a9994a40cb96bbb93917bf10ba0a75a3eb2c7639e2e6155dd,60.76814758172259,4096,4660,protocollm_lint_qwen36_27b
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,i2c__hard1,0,False,False,False,code_extraction_failure,85dc26527e370f5a9994a40cb96bbb93917bf10ba0a75a3eb2c7639e2e6155dd,21.242668583989143,4096,4660,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,spi__easy2,0,True,True,True,passed,e6d97c3dbaad229ba570145512f95ad1c294f1a577393d389b0995ed6dae61d0,46.390492007136345,902,1097,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,spi__easy2,0,False,False,False,compile_failure,e6d97c3dbaad229ba570145512f95ad1c294f1a577393d389b0995ed6dae61d0,16.18285743985325,475,663,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,spi__easy2,0,True,True,True,passed,e6d97c3dbaad229ba570145512f95ad1c294f1a577393d389b0995ed6dae61d0,5.468638116493821,874,1062,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,spi__easy2,0,True,True,True,passed,e6d97c3dbaad229ba570145512f95ad1c294f1a577393d389b0995ed6dae61d0,20.839956494048238,1384,1577,protocollm_lint_qwen36_27b
