baseline,benchmark,mode,task_id,model,sample_id,final_pass,compile_pass,sim_pass,failure_category,source_results_path
baseline_v0_1,protocollm,lint,axi__easy1,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,axi__easy1,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,axi__easy1,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,axi__easy1,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,axi__easy1,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__easy1,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__easy1,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__easy1,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__easy1,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__easy1,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__hard1,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__hard1,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__hard1,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__hard1,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,i2c__hard1,qwen36-35b-a3b,0,False,False,False,code_extraction_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy2,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy2,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy2,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy2,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy2,qwen36-35b-a3b,0,False,False,False,code_extraction_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy3,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy3,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy3,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy3,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy3,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy4,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy4,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy4,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy4,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy4,qwen36-35b-a3b,0,False,False,False,code_extraction_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy5,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy5,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy5,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy5,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,spi__easy5,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
